Key,File,Type,UsedInMainMenu,NoTranslate,english
lblFace,UI,Tooltip,,,"[60CCFF]Accessory"
accessorySilverRing,items,Item,,,"[E88F09]Platinum Diamond Ring"
accessoryGoldFlowerRing,items,Item,,,"[E88F09]Gold Flower Ring"
accessoryGoldStuddedRing,items,Item,,,"[E88F09]Diamond Studded Gold Ring"
accessoryRubyDiamondRing,items,Item,,,"[E88F09]Ruby Diamond Studded Ring"
accessoryRubyHeartRing,items,Item,,,"[E88F09]Ruby Heart Ring"
accessoryCombinedRings,items,Item,,,"[E88F09]Swag Necklace [WIP]"
accessoryJewerlyBox1,items,Item,,,"[E88F09]Jewellery Box"
accessoryJewerlyBox2,items,Item,,,"[E88F09]Jewellery Box"
accessoryJewerlyBox3,items,Item,,,"[E88F09]Jewellery Box"
accessoryJewerlyBox4,items,Item,,,"[E88F09]Jewellery Box"
accessoryJewerlyBox5,items,Item,,,"[E88F09]Jewellery Box"
accessoryJewerlyBox6,items,Item,,,"[E88F09]Jewellery Box: Combined Accessories"
accessoryJewerlyBoxDesc,items,Item,,,"[E88F09]Contains one legendary quality accessory"
accessoryCombinedDesc,items,Item,,,"[E88F09]Contains a legendary quality accessory that combines the effect of all other accessories"
buffHarmonyHCModeName,UI,Tooltip,,,"[EB1D0E]Harmony Test Buff"
buffHarmonyHCModeDesc,UI,Tooltip,,,"[EB1D0E]This is a test buff which is applied automatically. It should be a permanent buff that persists through death, gaining a level and logging in or out.\n\nIf you notice this buff has vanished, or notice it coming and going, let Scott know."
buffHarmonyHCModeTooltip,UI,Tooltip,,,"[EB1D0E]You've gained a buff and it came with this cool tooltip. That's pretty neat."
buffHarmonyHCModeRemoved,UI,Tooltip,,,"[EB1D0E]Harmony Test Buff has been removed\nTHIS IS NOT MEANT TO HAPPEN - Report to Scott!"
buffaccessoryGoldFlowerRingName,UI,Tooltip,,,"[60CCFF]Striker's Ring"
buffaccessoryGoldFlowerRingDesc,UI,Tooltip,,,"[60CCFF]Accessories provide a strong buff, but come with a downside.\n\n[FC1C03]- You cannot use Ranged Weapons\n[03FC56]- Melee Weapons deal 75% increased damage"
buffaccessorySilverRingName,UI,Tooltip,,,"[60CCFF]Sniper's Ring"
buffaccessorySilverRingDesc,UI,Tooltip,,,"[60CCFF]Accessories provide a strong buff, but come with a downside.\n\n[FC1C03]- You cannot use Melee Weapons\n[03FC56]- Ranged Weapons deal 75% increased damage"
buffaccessorySilverRingTooltip,UI,Tooltip,,,"[60CCFF]Melee weapons disabled - You can only use ranged weapons"
buffaccessoryGoldFlowerRingTooltip,UI,Tooltip,,,"[60CCFF]Ranged weapons disabled - You can only use melee weapons"
buffaccessoryGoldStuddedRingName,UI,Tooltip,,,"[60CCFF]Gotta Go Fast"
buffaccessoryGoldStuddedRingDesc,UI,Tooltip,,,"[60CCFF]Accessories provide a strong buff, but come with a downside.\n\n[FC1C03]- You regenerate stamina 25% slower while walking and are prone to slipping over\n[03FC56]- You walk 60% faster than normal"
buffaccessoryGoldStuddedRingTooltip,UI,Tooltip,,,,"[60CCFF]Stamina generation is slower when walking, but you walk faster"
