Key,File,Type,UsedInMainMenu,NoTranslate,english
modDyeRoyalPurple,item_modifiers,mod,,,[60CCFF]Dye: Royal Purple
modDyeTurquoise,item_modifiers,mod,,,[60CCFF]Dye: Turquoise
modDyeGold,item_modifiers,mod,,,[60CCFF]Dye: Gold
modDyeSilver,item_modifiers,mod,,,[60CCFF]Dye: Silver
modDyeBronze,item_modifiers,mod,,,[60CCFF]Dye: Bronze
modDyeLime,item_modifiers,mod,,,[60CCFF]Dye: Lime
modDyeCandyPink,item_modifiers,mod,,,[60CCFF]Dye: Candy Pink
modDyeOrange,item_modifiers,mod,,,[60CCFF]Dye: Orange
modDyeBeige,item_modifiers,mod,,,[60CCFF]Dye: Beige
modDyeTan,item_modifiers,mod,,,[60CCFF]Dye: Tan
modDyeGray,item_modifiers,mod,,,[60CCFF]Dye: Gray
modDyeCharcoal,item_modifiers,mod,,,[60CCFF]Dye: Charcoal
modDyeNavyBlue,item_modifiers,mod,,,[60CCFF]Dye: Navy-Blue
modDyeRoyalBlue,item_modifiers,mod,,,[60CCFF]Dye: Royal-Blue
modDyeAzure,item_modifiers,mod,,,[60CCFF]Dye: Azure
modDyeCyan,item_modifiers,mod,,,[60CCFF]Dye: Cyan
modDyeAquamarine,item_modifiers,mod,,,[60CCFF]Dye: Aquamarine
modDyeTeal,item_modifiers,mod,,,[60CCFF]Dye: Teal
modDyeForestGreen,item_modifiers,mod,,,[60CCFF]Dye: Forest-Green
modDyeOlive,item_modifiers,mod,,,[60CCFF]Dye: Olive
modDyeChartreuse,item_modifiers,mod,,,[60CCFF]Dye: Chartreuse
modDyeCoral,item_modifiers,mod,,,[60CCFF]Dye: Coral
modDyeSalmon,item_modifiers,mod,,,[60CCFF]Dye: Salmon
modDyeFuchsia,item_modifiers,mod,,,[60CCFF]Dye: Fuchsia
modDyePuce,item_modifiers,mod,,,[60CCFF]Dye: Puce
modDyeMauve,item_modifiers,mod,,,[60CCFF]Dye: Mauve
modDyeLavender,item_modifiers,mod,,,[60CCFF]Dye: Lavender
modDyePlum,item_modifiers,mod,,,[60CCFF]Dye: Plum
modDyeIndigo,item_modifiers,mod,,,[60CCFF]Dye: Indigo
modDyeMaroon,item_modifiers,mod,,,[60CCFF]Dye: Maroon
modDyeCrimson,item_modifiers,mod,,,[60CCFF]Dye: Crimson
Jeg_Coop,Blocks,block,,,[60CCFF]Chicken Coop
Jeg_Coop_Desc,Blocks,block,,,"[60CCFF]Generate your own Eggs and Feathers!\n\nUnlocked with the 'Living off the Land' perk."
Jeg_Coop_Full,Blocks,block,,,[60CCFF]Full Chicken Coop
resourceGoldenEgg,items,Item,,,[60CCFF]Golden Egg
resourceGoldenEggDesc,items,Item,,,"[60CCFF]It's no Golden Ticket, but it can be crafted into a Golden Omelette or sold to a trader for a hefty sum."
foodOmelette,,item,Food,newKey,[60CCFF]Golden Omelette
foodOmeletteDesc,,item,Food,newKey,[60CCFF]Tastes like a million dukes.
foodBearStew,,item,Food,newKey,[60CCFF]Bear Steak Stew
foodBearStewDesc,,item,Food,newKey,"[60CCFF]An extremely filling meal.\n\nProvides ample amounts of food and water, increases stamina regeneration, heals infections, and extinguishes fires."
foodBearSteak,,item,Food,newKey,[60CCFF]Raw Bear Steak
foodBearSteakDesc,,item,Food,newKey,"[60CCFF]Although inedible in its raw state, this Navezgane delicacy can be used exclusively in the creation of a delicious, nutritious Bear Steak Stew."
itemPilotHandbook,items,Item,,,"[60CCFF]Pilot's Handbook"
itemPilotHandbookDesc,,item,Item,newKey,"[60CCFF]Your very own Pilot's Handbook!\n\nThis item is a vital part of being able to craft a helicopter."
perkPilotTrainingRank5LongDesc,progression,perk Per,,,"[60CCFF]You've impressed Bob and earned your Pilot's License!\n\nUnlocks Pilot's Handbook crafting."
perkPilotTrainingRank4LongDesc,progression,perk Per,,,"[60CCFF]Your training is coming along nicely. You've pushed many buttons and fondled many joysticks. It won't be long until you're fully trained!"
perkPilotTrainingRank3LongDesc,progression,perk Per,,,"[60CCFF]You wake up early, eager to learn, only to realise it's Sunday and everyone knows there are no flights on Sundays."
perkPilotTrainingRank2LongDesc,progression,perk Per,,,"[60CCFF]Today you met Bob. Bob will be carrying out your training. Don't disappoint Bob."
perkPilotTrainingRank1LongDesc,progression,perk Per,,,"[60CCFF]When you were young you dreamt of taking to the skies. Now you're finally learning to fly!"
perkPilotTrainingRank5Desc,progression,perk Per,,,"[60CCFF]Fully Trained Pilot"
perkPilotTrainingRank4Desc,progression,perk Per,,,"[60CCFF]Joystick Fondler"
perkPilotTrainingRank3Desc,progression,perk Per,,,"[60CCFF]Early Riser"
perkPilotTrainingRank2Desc,progression,perk Per,,,"[60CCFF]Bob's Student"
perkPilotTrainingRank1Desc,progression,perk Per,,,"[60CCFF]Rookie"
perkPilotTrainingName,progression,perk Per,,,"[60CCFF]Pilot Training Course"
